"Columns","Field Name (Length)","Reference"
"1","Record Type (1)","5.2"
"2 thru 4","Customer/Area Code (3)","5.3"
"5","Section Code (1)","5.4"
"6","Subsection Code (1)","5.5"
"7 thru 10","Airport ICAO Identifier (4)","5.6"
"11 thru 12","ICAO Code (2)","5.14"
"13","Blank (Spacing) (1)",""
"14 thru 17","NDB Identifier (4)","5.33"
"18 thru 19","Blank (Spacing) (2)",""
"20 thru 21","ICAO Code (2)","5.14"
"22","Continuation Record No. (1)","5.16"
"23 thru 27","NDB Frequency (5)","5.34"
"28 thru 32","NDB Class (5)","5.35"
"33 thru 41","NDB Latitude (9)","5.36"
"42 thru 51","NDB Longitude (10)","5.37"
"52 thru 74","Blank (Spacing) (23)",""
"75 thru 79","Magnetic Variation (5)","5.39"
"80 thru 85","Blank (Spacing) (6)",""
"86 thru 90","Reserved (Expansion) (5)",""
"91 thru 93","Datum Code (3)","5.197"
"94 thru 123","NDB Name (30)","5.71"
"124 thru 128","File Record No. (5)","5.31"
"129 thru 132","Cycle Data (4)","5.32"
